host,mx,soa,ns,txt,status_code,a,aaaa,cdn,cdn-name,caa,ptr,cname,has_internal_ips,internal_ips
mathis.zip,,"abby.ns.cloudflare.com, dns.cloudflare.com","phil.ns.cloudflare.com, abby.ns.cloudflare.com",,NOERROR,"108.162.192.100, 172.64.32.100, 173.245.58.100, 108.162.193.137, 172.64.33.137, 173.245.59.137","2606:4700:50::adf5:3a64, 2803:f800:50::6ca2:c064, 2a06:98c1:50::ac40:2064, 2606:4700:58::adf5:3b89, 2803:f800:50::6ca2:c189, 2a06:98c1:50::ac40:2189",,,,,,,
mattimler.zip,"eforward5.registrar-servers.com, eforward2.registrar-servers.com, eforward4.registrar-servers.com, eforward3.registrar-servers.com, eforward1.registrar-servers.com","dns1.registrar-servers.com, hostmaster.registrar-servers.com","dns1.registrar-servers.com, dns2.registrar-servers.com",v=spf1 include:spf.efwd.registrar-servers.com ~all,NOERROR,"192.64.119.78, 156.154.132.200, 156.154.133.200","2610:a1:1024::200, 2610:a1:1025::200",,,,,,,
maxim.zip,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-a1.googledomains.com, ns-cloud-a2.googledomains.com, ns-cloud-a3.googledomains.com, ns-cloud-a4.googledomains.com",,NOERROR,,,,,,,,,
maxon.zip,custmx.cscdns.net,"dns1.cscdns.net, hostmaster.cscdns.net","dns1.cscdns.net, dns2.cscdns.net",,NOERROR,"165.160.13.20, 165.160.15.20",,,,,,,,
maxonmotor.zip,custmx.cscdns.net,"dns1.cscdns.net, hostmaster.cscdns.net","dns2.cscdns.net, dns1.cscdns.net",,NOERROR,"165.160.15.20, 165.160.13.20",,,,,,,,
maynard.zip,,"curitiba.ns.porkbun.com, dns.cloudflare.com","salvador.ns.porkbun.com, curitiba.ns.porkbun.com, fortaleza.ns.porkbun.com, maceio.ns.porkbun.com",,NOERROR,"44.227.65.245, 44.227.76.166",,,,,,,,
mazda.zip,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-b4.googledomains.com, ns-cloud-b2.googledomains.com, ns-cloud-b3.googledomains.com, ns-cloud-b1.googledomains.com",,NOERROR,"216.239.38.21, 216.239.36.21, 216.239.34.21, 216.239.32.21","2001:4860:4802:34::15, 2001:4860:4802:38::15, 2001:4860:4802:36::15, 2001:4860:4802:32::15",,,,,,,
mbbs.zip,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-a3.googledomains.com, ns-cloud-a2.googledomains.com, ns-cloud-a4.googledomains.com, ns-cloud-a1.googledomains.com",,NOERROR,"216.239.38.21, 216.239.32.21, 216.239.34.21, 216.239.36.21","2001:4860:4802:34::15, 2001:4860:4802:38::15, 2001:4860:4802:36::15, 2001:4860:4802:32::15",,,,,,,
mbox.zip,"alt1.aspmx.l.google.com, alt4.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx.l.google.com, alt3.aspmx.l.google.com","jeff.ns.cloudflare.com, dns.cloudflare.com","rita.ns.cloudflare.com, jeff.ns.cloudflare.com",v=spf1 include:_spf.google.com -all,NOERROR,,,,,,,,,
mbs.zip,,"byron.ns.cloudflare.com, dns.cloudflare.com","byron.ns.cloudflare.com, sharon.ns.cloudflare.com",,NOERROR,"104.21.68.67, 172.67.191.40","2606:4700:3032::6815:4443, 2606:4700:3032::ac43:bf28",True,cloudflare,,,,,
mcafee.zip,,"erin.ns.cloudflare.com, dns.cloudflare.com","seth.ns.cloudflare.com, erin.ns.cloudflare.com",,NOERROR,,,,,,,,,
mcafeetrellix.zip,,"ns37.domaincontrol.com, dns.jomax.net","ns38.domaincontrol.com, ns37.domaincontrol.com",,NOERROR,34.102.136.180,,True,google,,,,,
mcconnell.zip,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-a3.googledomains.com, ns-cloud-a1.googledomains.com, ns-cloud-a2.googledomains.com, ns-cloud-a4.googledomains.com",,NOERROR,,,,,,,,,
mccormacks.zip,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-d4.googledomains.com, ns-cloud-d2.googledomains.com, ns-cloud-d1.googledomains.com, ns-cloud-d3.googledomains.com",,NOERROR,,,,,,,,,
mcdonalds.zip,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-a2.googledomains.com, ns-cloud-a1.googledomains.com, ns-cloud-a3.googledomains.com, ns-cloud-a4.googledomains.com",,NOERROR,,,,,,,,,
mcg.zip,"alt4.aspmx.l.google.com, alt2.aspmx.l.google.com, alt1.aspmx.l.google.com, alt3.aspmx.l.google.com, aspmx.l.google.com","ns1.cargo.site, hostmaster.mcg.zip","ns1.cargo.site, ns2.cargo.site",,NOERROR,,,,,,,,,
mcman.zip,,"ns37.domaincontrol.com, dns.jomax.net","ns38.domaincontrol.com, ns37.domaincontrol.com",,NOERROR,34.102.136.180,,True,google,,,,,
md5.zip,"mail.protonmail.ch, mailsec.protonmail.ch","ns1.netim.net, hostmaster.netim.net","ns2.netim.net, ns1.netim.net, ns3.netim.net","protonmail-verification=e37e34701f0d999a57cae190722f433ccce6b42c, v=spf1 include:_spf.protonmail.ch mx ~all",NOERROR,185.26.105.244,,,,,,,,
mdeclientanalyzerpreview.zip,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-e1.googledomains.com, ns-cloud-e4.googledomains.com, ns-cloud-e2.googledomains.com, ns-cloud-e3.googledomains.com",,NOERROR,"216.239.32.21, 216.239.36.21, 216.239.38.21, 216.239.34.21","2001:4860:4802:32::15, 2001:4860:4802:36::15, 2001:4860:4802:34::15, 2001:4860:4802:38::15",,,,,,,
me.zip,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-b4.googledomains.com, ns-cloud-b2.googledomains.com, ns-cloud-b3.googledomains.com, ns-cloud-b1.googledomains.com",,NOERROR,,,,,,,,,
meatball.zip,,"jack.ns.cloudflare.com, dns.cloudflare.com","jack.ns.cloudflare.com, jamie.ns.cloudflare.com",,NOERROR,"104.21.28.198, 172.67.147.133","2606:4700:3034::6815:1cc6, 2606:4700:3034::ac43:9385",True,cloudflare,,,,,
meca.zip,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-d1.googledomains.com, ns-cloud-d3.googledomains.com, ns-cloud-d2.googledomains.com, ns-cloud-d4.googledomains.com",,NOERROR,"216.239.32.109, 216.239.34.109, 216.239.36.109, 216.239.38.109","2001:4860:4802:32::6d, 2001:4860:4802:34::6d, 2001:4860:4802:36::6d, 2001:4860:4802:38::6d",,,,,,,
media-kit.zip,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-a3.googledomains.com, ns-cloud-a2.googledomains.com, ns-cloud-a1.googledomains.com, ns-cloud-a4.googledomains.com",,NOERROR,,,,,,,,,
mediakit.zip,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-e4.googledomains.com, ns-cloud-e2.googledomains.com, ns-cloud-e3.googledomains.com, ns-cloud-e1.googledomains.com",,NOERROR,"216.239.38.21, 216.239.36.21, 216.239.32.21, 216.239.34.21","2001:4860:4802:36::15, 2001:4860:4802:34::15, 2001:4860:4802:38::15, 2001:4860:4802:32::15",,,,,,,
meds.zip,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-b3.googledomains.com, ns-cloud-b2.googledomains.com, ns-cloud-b1.googledomains.com, ns-cloud-b4.googledomains.com",,NOERROR,,,,,,,,,
meem.zip,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-c3.googledomains.com, ns-cloud-c2.googledomains.com, ns-cloud-c4.googledomains.com, ns-cloud-c1.googledomains.com",,NOERROR,,,,,,,,,
meemo.zip,"spool.mail.gandi.net, fb.mail.gandi.net","ns1.gandi.net, hostmaster.gandi.net","ns-251-c.gandi.net, ns-134-a.gandi.net, ns-50-b.gandi.net",v=spf1 include:_mailcust.gandi.net ?all,NOERROR,149.28.118.129,2001:19f0:5c01:15fa:5400:4ff:fe45:4f18,,,,,,,
meep.zip,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-e2.googledomains.com, ns-cloud-e3.googledomains.com, ns-cloud-e4.googledomains.com, ns-cloud-e1.googledomains.com",,NOERROR,"216.239.32.110, 216.239.34.110, 216.239.36.110, 216.239.38.110","2001:4860:4802:32::6e, 2001:4860:4802:34::6e, 2001:4860:4802:36::6e, 2001:4860:4802:38::6e",,,,,,,
mega.zip,localhost,"ns1.sedoparking.com, hostmaster.sedo.de","ns2.sedoparking.com, ns1.sedoparking.com",v=spf1 -all,NOERROR,"64.190.63.111, 3.130.216.63, 91.195.241.8, 34.211.188.210, 91.195.240.8",,,,,,,,
megastore.zip,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-d1.googledomains.com, ns-cloud-d2.googledomains.com, ns-cloud-d3.googledomains.com, ns-cloud-d4.googledomains.com",,NOERROR,,,,,,,,,
melee.zip,mx.hover.com.cust.hostedemail.com,"ns1.hover.com, dnsmaster.hover.com","ns1.hover.com, ns2.hover.com",,NOERROR,216.40.34.41,,,,,,,,
melvin.zip,,"nola.ns.cloudflare.com, dns.cloudflare.com","woz.ns.cloudflare.com, nola.ns.cloudflare.com",,NOERROR,"104.21.95.128, 172.67.144.246","2606:4700:3034::ac43:90f6, 2606:4700:3037::6815:5f80",True,cloudflare,,,,,
meowmeow.zip,"eforward2.registrar-servers.com, eforward5.registrar-servers.com, eforward4.registrar-servers.com, eforward1.registrar-servers.com, eforward3.registrar-servers.com","bart.ns.cloudflare.com, dns.cloudflare.com","bart.ns.cloudflare.com, mia.ns.cloudflare.com",v=spf1 include:spf.efwd.registrar-servers.com ~all,NOERROR,"172.67.168.199, 104.21.54.177","2606:4700:3031::ac43:a8c7, 2606:4700:3036::6815:36b1",True,cloudflare,,,,,
mercyforanimals.zip,,"clyde.ns.cloudflare.com, dns.cloudflare.com","leah.ns.cloudflare.com, clyde.ns.cloudflare.com",v=spf1 -all,NOERROR,,,,,,,,,
merrilllynch.zip,,"a1-121.akam.net, hostmaster.merrilllynch.zip","a3-64.akam.net, a1-121.akam.net, a18-64.akam.net, a8-64.akam.net, a12-64.akam.net, a7-64.akam.net",v=spf1 -all,NOERROR,,,,,,,,,
mesdocs.zip,"spool.mail.gandi.net, fb.mail.gandi.net","ns1.gandi.net, hostmaster.gandi.net","ns-238-b.gandi.net, ns-197-a.gandi.net, ns-70-c.gandi.net",v=spf1 include:_mailcust.gandi.net ?all,NOERROR,217.70.184.38,,,,,,,,
mesfichiers.zip,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-c4.googledomains.com, ns-cloud-c1.googledomains.com, ns-cloud-c2.googledomains.com, ns-cloud-c3.googledomains.com",,NOERROR,,,,,,,,,
message1.zip,,"ns1.wordpress.com, hostmaster.wordpress.com","ns3.wordpress.com, ns1.wordpress.com, ns2.wordpress.com",,NOERROR,"192.0.78.24, 192.0.78.25",,,,,,,,
metadata.zip,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-c1.googledomains.com, ns-cloud-c4.googledomains.com, ns-cloud-c2.googledomains.com, ns-cloud-c3.googledomains.com",,NOERROR,,,,,,,,,
metapay.zip,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-c3.googledomains.com, ns-cloud-c4.googledomains.com, ns-cloud-c1.googledomains.com, ns-cloud-c2.googledomains.com",6193994b532aaeb91f3f2f6116b9f2bd44e01ed6,NOERROR,"216.239.36.21, 216.239.32.21, 216.239.34.21, 216.239.38.21","2001:4860:4802:32::15, 2001:4860:4802:34::15, 2001:4860:4802:38::15, 2001:4860:4802:36::15",,,,,,,
metaspace.zip,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-d3.googledomains.com, ns-cloud-d4.googledomains.com, ns-cloud-d1.googledomains.com, ns-cloud-d2.googledomains.com",,NOERROR,,,,,,,,,
metatrader5.zip,,"ray.ns.cloudflare.com, dns.cloudflare.com","ray.ns.cloudflare.com, sue.ns.cloudflare.com",,NOERROR,,,,,,,,,
metin2.zip,,"ed.ns.cloudflare.com, dns.cloudflare.com","pam.ns.cloudflare.com, ed.ns.cloudflare.com",,NOERROR,"172.67.175.179, 104.21.48.10","2606:4700:3037::6815:300a, 2606:4700:3032::ac43:afb3",True,cloudflare,,,,,
metu.zip,,"dave.ns.cloudflare.com, dns.cloudflare.com","dave.ns.cloudflare.com, june.ns.cloudflare.com",,NOERROR,,,,,,,,,
meulink.zip,,"ada.ns.cloudflare.com, dns.cloudflare.com","ada.ns.cloudflare.com, jim.ns.cloudflare.com",,NOERROR,"134.65.246.206, 108.162.193.125, 172.64.33.125, 173.245.59.125","2606:4700:58::adf5:3b7d, 2803:f800:50::6ca2:c17d, 2a06:98c1:50::ac40:217d",True,oracle,,,,,
mew.zip,,"nora.ns.cloudflare.com, dns.cloudflare.com","will.ns.cloudflare.com, nora.ns.cloudflare.com",,NOERROR,"104.21.13.59, 172.67.154.229","2606:4700:3035::ac43:9ae5, 2606:4700:3037::6815:d3b",True,cloudflare,,,,,
meydan.zip,,"ns35.domaincontrol.com, dns.jomax.net","ns36.domaincontrol.com, ns35.domaincontrol.com",,NOERROR,34.102.136.180,,True,google,,,,,
miana.zip,,"nora.ns.cloudflare.com, dns.cloudflare.com","nora.ns.cloudflare.com, will.ns.cloudflare.com",,NOERROR,"188.114.97.0, 188.114.96.0","2a06:98c1:3121::, 2a06:98c1:3120::",True,cloudflare,,,,,
michelin.zip,custmx.cscdns.net,"dns1.cscdns.net, hostmaster.cscdns.net","dns1.cscdns.net, dns2.cscdns.net",,NOERROR,"165.160.15.20, 165.160.13.20, 156.154.130.100, 156.154.131.100","2610:a1:1022::100, 2610:a1:1023::100",,,,,,,
michi.zip,"eforward2.registrar-servers.com, eforward5.registrar-servers.com, eforward4.registrar-servers.com, eforward1.registrar-servers.com, eforward3.registrar-servers.com","ligia.ns.cloudflare.com, dns.cloudflare.com","mitchell.ns.cloudflare.com, ligia.ns.cloudflare.com",v=spf1 include:spf.efwd.registrar-servers.com ~all,NOERROR,"104.21.80.203, 172.67.153.200, 108.162.194.4, 162.159.38.4, 172.64.34.4, 108.162.195.231, 162.159.44.231, 172.64.35.231","2606:4700:3037::6815:50cb, 2606:4700:3036::ac43:99c8, 2606:4700:50::a29f:2604, 2803:f800:50::6ca2:c204, 2a06:98c1:50::ac40:2204, 2606:4700:58::a29f:2ce7, 2803:f800:50::6ca2:c3e7, 2a06:98c1:50::ac40:23e7",True,cloudflare,,,,,
microcar.zip,,"curitiba.ns.porkbun.com, dns.cloudflare.com","maceio.ns.porkbun.com, curitiba.ns.porkbun.com, salvador.ns.porkbun.com, fortaleza.ns.porkbun.com",,NOERROR,"44.227.65.245, 44.227.76.166",,,,,,,,
microsoft-2023-update.zip,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-e1.googledomains.com, ns-cloud-e2.googledomains.com, ns-cloud-e3.googledomains.com, ns-cloud-e4.googledomains.com",,NOERROR,,,,,,,,,
microsoft-install.zip,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-e1.googledomains.com, ns-cloud-e4.googledomains.com, ns-cloud-e3.googledomains.com, ns-cloud-e2.googledomains.com",,NOERROR,,,,,,,,,
microsoft-office-update.zip,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-a3.googledomains.com, ns-cloud-a1.googledomains.com, ns-cloud-a4.googledomains.com, ns-cloud-a2.googledomains.com",,NOERROR,,,,,,,,,
microsoft-patch.zip,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,,,,,,
microsoft-security-patch.zip,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-e4.googledomains.com, ns-cloud-e3.googledomains.com, ns-cloud-e1.googledomains.com, ns-cloud-e2.googledomains.com",,NOERROR,184.73.125.120,,,,,,,,
microsoft-teams.zip,,"ns21.domaincontrol.com, dns.jomax.net","ns21.domaincontrol.com, ns22.domaincontrol.com",,NOERROR,34.102.136.180,,True,google,,,,,
microsoft.zip,,"brad.ns.cloudflare.com, dns.cloudflare.com","lucy.ns.cloudflare.com, brad.ns.cloudflare.com",,NOERROR,"188.114.97.3, 188.114.96.3","2a06:98c1:3121::3, 2a06:98c1:3120::3",True,cloudflare,,,,,
microsoftdefender.zip,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-c1.googledomains.com, ns-cloud-c3.googledomains.com, ns-cloud-c4.googledomains.com, ns-cloud-c2.googledomains.com",,NOERROR,,,,,,,,,
microsoftedge.zip,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-e4.googledomains.com, ns-cloud-e1.googledomains.com, ns-cloud-e2.googledomains.com, ns-cloud-e3.googledomains.com",,NOERROR,,,,,,,,,
microsoftedgesetup.zip,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-c2.googledomains.com, ns-cloud-c4.googledomains.com, ns-cloud-c3.googledomains.com, ns-cloud-c1.googledomains.com",,NOERROR,,,,,,,,,
microsoftinstaller.zip,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-c3.googledomains.com, ns-cloud-c4.googledomains.com, ns-cloud-c2.googledomains.com, ns-cloud-c1.googledomains.com",,NOERROR,,,,,,,,,
microsoftonedrive.zip,,"henrik.ns.cloudflare.com, dns.cloudflare.com","henrik.ns.cloudflare.com, lola.ns.cloudflare.com",,NOERROR,,,,,,,,,
microsoftoutlook.zip,mx.hover.com.cust.hostedemail.com,"ns1.hover.com, dnsmaster.hover.com","ns2.hover.com, ns1.hover.com",,NOERROR,216.40.34.41,,,,,,,,
microsoftsecurity.zip,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-d4.googledomains.com, ns-cloud-d3.googledomains.com, ns-cloud-d2.googledomains.com, ns-cloud-d1.googledomains.com",,NOERROR,,,,,,,,,
microsoftstore.zip,,"ns67.domaincontrol.com, dns.jomax.net","ns68.domaincontrol.com, ns67.domaincontrol.com",,NOERROR,34.102.136.180,,True,google,,,,,
microsoftupdater.zip,,"ns25.domaincontrol.com, dns.jomax.net","ns25.domaincontrol.com, ns26.domaincontrol.com",,NOERROR,34.102.136.180,,True,google,,,,,
microsoftupdates.zip,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-a2.googledomains.com, ns-cloud-a3.googledomains.com, ns-cloud-a1.googledomains.com, ns-cloud-a4.googledomains.com",,NOERROR,,,,,,,,,
microsoftupdatesapi.zip,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-a1.googledomains.com, ns-cloud-a2.googledomains.com, ns-cloud-a3.googledomains.com, ns-cloud-a4.googledomains.com",,NOERROR,,,,,,,,,
microsoftutility.zip,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-b1.googledomains.com, ns-cloud-b2.googledomains.com, ns-cloud-b3.googledomains.com, ns-cloud-b4.googledomains.com",,NOERROR,,,,,,,,,
microsoftwindows.zip,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-a1.googledomains.com, ns-cloud-a3.googledomains.com, ns-cloud-a2.googledomains.com, ns-cloud-a4.googledomains.com",,NOERROR,"216.239.32.106, 216.239.34.106, 216.239.36.106, 216.239.38.106","2001:4860:4802:32::6a, 2001:4860:4802:34::6a, 2001:4860:4802:36::6a, 2001:4860:4802:38::6a",,,,,,,
microsoftword.zip,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-e1.googledomains.com, ns-cloud-e3.googledomains.com, ns-cloud-e4.googledomains.com, ns-cloud-e2.googledomains.com",,NOERROR,,,,,,,,,
midjourney.zip,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-d2.googledomains.com, ns-cloud-d4.googledomains.com, ns-cloud-d1.googledomains.com, ns-cloud-d3.googledomains.com",,NOERROR,"216.239.32.21, 216.239.36.21, 216.239.34.21, 216.239.38.21","2001:4860:4802:32::15, 2001:4860:4802:34::15, 2001:4860:4802:38::15, 2001:4860:4802:36::15",,,,,,,
mildysus.zip,,"curitiba.ns.porkbun.com, dns.cloudflare.com","maceio.ns.porkbun.com, salvador.ns.porkbun.com, curitiba.ns.porkbun.com, fortaleza.ns.porkbun.com",,NOERROR,"44.227.65.245, 44.227.76.166",,,,,,,,
milkshake.zip,,"matt.ns.cloudflare.com, dns.cloudflare.com","may.ns.cloudflare.com, matt.ns.cloudflare.com",,NOERROR,,,,,,,,,
millet.zip,custmx.cscdns.net,"dns1.cscdns.net, hostmaster.cscdns.net","dns1.cscdns.net, dns2.cscdns.net",,NOERROR,"165.160.13.20, 165.160.15.20",,,,,,,,
mimos.zip,,"ns25.domaincontrol.com, dns.jomax.net","ns26.domaincontrol.com, ns25.domaincontrol.com",,NOERROR,"167.61.158.213, 97.74.102.13, 173.201.70.13","2603:5:2161::d, 2603:5:2261::d",,,,,,,
mind-bytes.zip,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-c1.googledomains.com, ns-cloud-c3.googledomains.com, ns-cloud-c2.googledomains.com, ns-cloud-c4.googledomains.com",,NOERROR,"216.239.32.108, 216.239.34.108, 216.239.36.108, 216.239.38.108","2001:4860:4802:32::6c, 2001:4860:4802:34::6c, 2001:4860:4802:36::6c, 2001:4860:4802:38::6c",,,,,,,
minecraft-mod.zip,,"etta.ns.cloudflare.com, dns.cloudflare.com","etta.ns.cloudflare.com, igor.ns.cloudflare.com",,NOERROR,"188.114.97.3, 188.114.96.3","2a06:98c1:3121::3, 2a06:98c1:3120::3",True,cloudflare,,,,,
minecraft-mods.zip,,"meera.ns.cloudflare.com, dns.cloudflare.com","walt.ns.cloudflare.com, meera.ns.cloudflare.com",,NOERROR,"188.114.97.3, 188.114.96.3","2a06:98c1:3121::3, 2a06:98c1:3120::3",True,cloudflare,,,,,
minecraft-server.zip,,"etta.ns.cloudflare.com, dns.cloudflare.com","etta.ns.cloudflare.com, igor.ns.cloudflare.com",,NOERROR,,"2a06:98c1:3120::, 2a06:98c1:3121::",True,cloudflare,,,,,
mineplex.zip,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,,,,,,
minidisc.zip,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-c1.googledomains.com, ns-cloud-c4.googledomains.com, ns-cloud-c2.googledomains.com, ns-cloud-c3.googledomains.com",,NOERROR,,,,,,,,,
minified.zip,,"arch.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,"104.21.63.67, 172.67.143.241","2606:4700:3034::6815:3f43, 2606:4700:3037::ac43:8ff1",True,cloudflare,,,,,
minify.zip,"gmr-smtp-in.l.google.com, alt4.gmr-smtp-in.l.google.com, alt2.gmr-smtp-in.l.google.com, alt1.gmr-smtp-in.l.google.com, alt3.gmr-smtp-in.l.google.com","ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-b3.googledomains.com, ns-cloud-b1.googledomains.com, ns-cloud-b4.googledomains.com, ns-cloud-b2.googledomains.com",,NOERROR,,,,,,,,,
misarchivos.zip,,"ns1.linode.com, puntog.gmail.com","ns5.linode.com, ns2.linode.com, ns1.linode.com, ns4.linode.com, ns3.linode.com",,NOERROR,,,,,,,,,
mise-a-jour.zip,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-c3.googledomains.com, ns-cloud-c1.googledomains.com, ns-cloud-c2.googledomains.com, ns-cloud-c4.googledomains.com",,NOERROR,"216.239.32.108, 216.239.34.108, 216.239.36.108, 216.239.38.108","2001:4860:4802:32::6c, 2001:4860:4802:34::6c, 2001:4860:4802:36::6c, 2001:4860:4802:38::6c",,,,,,,
mit.zip,,"ns1.101domain.com, ADMIN.mit.zip","ns1.101domain.com, ns2.101domain.com, ns5.101domain.com",,NOERROR,52.60.87.163,,,,,,,,
mitm.zip,,"ns1.101domain.com, ADMIN.mitm.zip","ns2.101domain.com, ns1.101domain.com, ns5.101domain.com",,NOERROR,52.60.87.163,,,,,,,,
mitomi.zip,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-d2.googledomains.com, ns-cloud-d3.googledomains.com, ns-cloud-d4.googledomains.com, ns-cloud-d1.googledomains.com",,NOERROR,"216.239.32.21, 216.239.34.21, 216.239.36.21, 216.239.38.21","2001:4860:4802:36::15, 2001:4860:4802:34::15, 2001:4860:4802:32::15, 2001:4860:4802:38::15",,,,,,,
mitre.zip,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-e3.googledomains.com, ns-cloud-e1.googledomains.com, ns-cloud-e4.googledomains.com, ns-cloud-e2.googledomains.com","godaddyverification=K9rlF+08Rqrd/qBcxiX5iw==, v=spf1 -all, v=DMARC1; p=reject; rua=mailto:abuse@mitre.org; pct=100; aspf=s",NOERROR,,,,,,,,,
mkdev.zip,,"meiling.ns.cloudflare.com, dns.cloudflare.com","noel.ns.cloudflare.com, meiling.ns.cloudflare.com",,NOERROR,"104.21.78.75, 172.67.217.223","2606:4700:3031::ac43:d9df, 2606:4700:3034::6815:4e4b",True,cloudflare,,,,,
mkdir.zip,,"ryan.ns.cloudflare.com, dns.cloudflare.com","sue.ns.cloudflare.com, ryan.ns.cloudflare.com",,NOERROR,"104.21.31.198, 172.67.179.167, 108.162.192.145, 172.64.32.145, 173.245.58.145, 108.162.195.229, 162.159.44.229, 172.64.35.229","2606:4700:3034::6815:1fc6, 2606:4700:3035::ac43:b3a7, 2606:4700:50::adf5:3a91, 2803:f800:50::6ca2:c091, 2a06:98c1:50::ac40:2091, 2606:4700:58::a29f:2ce5, 2803:f800:50::6ca2:c3e5, 2a06:98c1:50::ac40:23e5",True,cloudflare,,,,,
mkultra.zip,,"erin.ns.cloudflare.com, dns.cloudflare.com","seth.ns.cloudflare.com, erin.ns.cloudflare.com",,NOERROR,"108.162.192.113, 172.64.32.113, 173.245.58.113, 108.162.193.142, 172.64.33.142, 173.245.59.142","2606:4700:50::adf5:3a71, 2803:f800:50::6ca2:c071, 2a06:98c1:50::ac40:2071, 2606:4700:58::adf5:3b8e, 2803:f800:50::6ca2:c18e, 2a06:98c1:50::ac40:218e",,,,,,,
mmj.zip,"aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, alt3.aspmx.l.google.com, alt4.aspmx.l.google.com","ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-e1.googledomains.com, ns-cloud-e2.googledomains.com, ns-cloud-e3.googledomains.com, ns-cloud-e4.googledomains.com",v=spf1 include:_spf.google.com ~all,NOERROR,199.36.158.100,,,,,,,,
mobi.zip,,"ns01.trademarkarea.com, postmaster.mobi.zip","ns01.trademarkarea.com, ns02.trademarkarea.com, ns03.trademarkarea.com",,NOERROR,"192.230.79.89, 199.83.135.102",,True,incapsula,,,,,
mobileasset.zip,"eforward1.registrar-servers.com, eforward2.registrar-servers.com, eforward3.registrar-servers.com, eforward5.registrar-servers.com, eforward4.registrar-servers.com","dns1.registrar-servers.com, hostmaster.registrar-servers.com","dns2.registrar-servers.com, dns1.registrar-servers.com",v=spf1 include:spf.efwd.registrar-servers.com ~all,NOERROR,192.64.119.178,,,,,,,,
